phase,probe,http,ms,loss_pct,note
baseline,1,200,78,0,Compliant
baseline,2,200,67,0,Compliant
baseline,3,200,56,0,Compliant
baseline,4,200,62,0,Compliant
baseline,5,200,63,0,Compliant
baseline,6,200,67,0,Compliant
baseline,7,200,65,0,Compliant
baseline,8,200,60,0,Compliant
baseline,9,200,69,0,Compliant
baseline,10,200,62,0,Compliant
baseline,11,200,68,0,Compliant
baseline,12,200,61,0,Compliant
baseline,13,200,65,0,Compliant
baseline,14,200,62,0,Compliant
baseline,15,200,64,0,Compliant
baseline,16,200,64,0,Compliant
baseline,17,200,56,0,Compliant
baseline,18,200,62,0,Compliant
baseline,19,200,75,0,Compliant
baseline,20,200,56,0,Compliant
loss-1,1,200,65,1,Compliant
loss-1,2,200,59,1,Compliant
loss-1,3,200,61,1,Compliant
loss-1,4,200,55,1,Compliant
loss-1,5,200,63,1,Compliant
loss-1,6,200,58,1,Compliant
loss-1,7,200,60,1,Compliant
loss-1,8,200,61,1,Compliant
loss-1,9,200,61,1,Compliant
loss-1,10,200,58,1,Compliant
loss-1,11,200,60,1,Compliant
loss-1,12,200,65,1,Compliant
loss-1,13,200,70,1,Compliant
loss-1,14,200,71,1,Compliant
loss-1,15,200,68,1,Compliant
loss-1,16,200,60,1,Compliant
loss-1,17,200,53,1,Compliant
loss-1,18,200,55,1,Compliant
loss-1,19,200,62,1,Compliant
loss-1,20,200,108,1,Compliant
loss-5,1,200,64,5,Compliant
loss-5,2,200,66,5,Compliant
loss-5,3,200,61,5,Compliant
loss-5,4,200,56,5,Compliant
loss-5,5,200,50,5,Compliant
loss-5,6,200,60,5,Compliant
loss-5,7,200,63,5,Compliant
loss-5,8,200,58,5,Compliant
loss-5,9,200,57,5,Compliant
loss-5,10,200,60,5,Compliant
loss-5,11,200,54,5,Compliant
loss-5,12,200,58,5,Compliant
loss-5,13,200,61,5,Compliant
loss-5,14,200,64,5,Compliant
loss-5,15,200,59,5,Compliant
loss-5,16,200,60,5,Compliant
loss-5,17,200,62,5,Compliant
loss-5,18,000,29,5,dropped
loss-5,19,200,61,5,Compliant
loss-5,20,200,54,5,Compliant
loss-10,1,200,63,10,Compliant
loss-10,2,200,85,10,Compliant
loss-10,3,200,61,10,Compliant
loss-10,4,200,61,10,Compliant
loss-10,5,200,70,10,Compliant
loss-10,6,200,63,10,Compliant
loss-10,7,200,63,10,Compliant
loss-10,8,200,59,10,Compliant
loss-10,9,200,64,10,Compliant
loss-10,10,200,61,10,Compliant
loss-10,11,200,60,10,Compliant
loss-10,12,200,59,10,Compliant
loss-10,13,200,58,10,Compliant
loss-10,14,200,62,10,Compliant
loss-10,15,200,60,10,Compliant
loss-10,16,200,56,10,Compliant
loss-10,17,200,60,10,Compliant
loss-10,18,200,60,10,Compliant
loss-10,19,200,64,10,Compliant
loss-10,20,000,28,10,dropped
loss-20,1,200,69,20,Compliant
loss-20,2,200,46,20,Compliant
loss-20,3,200,62,20,Compliant
loss-20,4,200,79,20,Compliant
loss-20,5,200,62,20,Compliant
loss-20,6,200,62,20,Compliant
loss-20,7,200,61,20,Compliant
loss-20,8,200,65,20,Compliant
loss-20,9,200,63,20,Compliant
loss-20,10,000,28,20,dropped
loss-20,11,200,70,20,Compliant
loss-20,12,000,26,20,dropped
loss-20,13,200,60,20,Compliant
loss-20,14,200,64,20,Compliant
loss-20,15,200,62,20,Compliant
loss-20,16,000,27,20,dropped
loss-20,17,200,62,20,Compliant
loss-20,18,200,67,20,Compliant
loss-20,19,200,65,20,Compliant
loss-20,20,200,64,20,Compliant
recovery,1,200,65,0,Compliant
recovery,2,200,61,0,Compliant
recovery,3,200,64,0,Compliant
recovery,4,200,65,0,Compliant
recovery,5,200,61,0,Compliant
recovery,6,200,62,0,Compliant
recovery,7,200,59,0,Compliant
recovery,8,200,63,0,Compliant
recovery,9,200,97,0,Compliant
recovery,10,200,61,0,Compliant
recovery,11,200,67,0,Compliant
recovery,12,200,63,0,Compliant
recovery,13,200,63,0,Compliant
recovery,14,200,62,0,Compliant
recovery,15,200,58,0,Compliant
recovery,16,200,58,0,Compliant
recovery,17,200,63,0,Compliant
recovery,18,200,51,0,Compliant
recovery,19,200,59,0,Compliant
recovery,20,200,67,0,Compliant
